,_id,주성분코드,Spec
26,5f3dca6de37cbadbc379ae42,104731BIJ,alfentanil hydrochloride  (as alfentanil   2.5mg(0.5mg/mL))   (단일)
27,5f3dca6de37cbadbc379ae43,103031BIJ,adenosine  90mg(3mg/mL)   (단일)
28,5f3dca6de37cbadbc379ae44,105502ATB,alprazolam  0.25mg   (단일)
29,5f3dca6de37cbadbc379ae45,105507ATB,alprazolam  0.125mg   (단일)
30,5f3dca6de37cbadbc379ae46,106833BIJ,amikacin sulfate  0.5g(0.25g/mL)   (단일)
31,5f3dca6de37cbadbc379ae47,107139BIJ,amino acids(5%)  12.5g(50mg/mL)   (단일)
32,5f3dca6de37cbadbc379ae48,107142BIJ,amino acids(6%)  6g(60mg/mL)   (단일)
33,5f3dca6de37cbadbc379ae49,107143BIJ,amino acids(6%)  12g(60mg/mL)   (단일)
34,5f3dca6de37cbadbc379ae4a,107148BIJ,amino acids(7%)  17.5g(70mg/mL)   (단일)
35,5f3dca6de37cbadbc379ae4b,107153BIJ,amino acids(8%)  20g(80mg/mL)   (단일)
36,5f3dca6de37cbadbc379ae4c,107157BIJ,amino acids(10%)  10g(0.1g/mL)   (단일)
37,5f3dca6de37cbadbc379ae4d,107170BIJ,amino acids(13%)  65g(0.13g/mL)   (단일)
38,5f3dca6de37cbadbc379ae4e,107160BIJ,amino acids(10%)  50g(0.1g/mL)   (단일)
39,5f3dca6de37cbadbc379ae4f,107159BIJ,amino acids(10%)  25g(0.1g/mL)   (단일)
40,5f3dca6de37cbadbc379ae50,107502ATB,amitriptyline hydrochloride  25mg   (단일)
41,5f3dca6de37cbadbc379ae51,107301ATB,aminophylline hydrate  0.1g   (단일)
42,5f3dca6de37cbadbc379ae52,107301ATR,aminophylline hydrate  0.1g   (단일)
43,5f3dca6de37cbadbc379ae53,107504ATB,amitriptyline hydrochloride  5mg   (단일)
44,5f3dca6de37cbadbc379ae54,107169BIJ,amino acids(13%)  32.5g(0.13g/mL)   (단일)
45,5f3dca6de37cbadbc379ae55,107731CLT,ammonium lactate  40g(0.2g/g)   (단일)
46,5f3dca6de37cbadbc379ae56,107730CLT,ammonium lactate  45g(0.2g/g)   (단일)
47,5f3dca6de37cbadbc379ae57,108201BIJ,amoxicillin sodium  (as amoxicillin   1g)   (단일)
48,5f3dca6de37cbadbc379ae58,109001ATB,anastrozole  1mg   (단일)
49,5f3dca6de37cbadbc379ae59,109932ALQ,sodium alginate  1.25g(50mg/mL)   (단일)
50,5f3dca6de37cbadbc379ae5a,109935ALQ,sodium alginate  30g(50mg/mL)   (단일)
51,5f3dca6de37cbadbc379ae5b,109937ALQ,sodium alginate  1.5g(50mg/mL)   (단일)
52,5f3dca6de37cbadbc379ae5c,110405ATB,ascorbic acid  50mg   (단일)
53,5f3dca6de37cbadbc379ae5d,110433BIJ,ascorbic acid  10g(0.5g/mL)   (단일)
54,5f3dca6de37cbadbc379ae5e,111003ATE,aspirin(enteric coated)  (as aspirin   81mg)   (단일)
55,5f3dca6de37cbadbc379ae5f,111403ATB,atenolol  50mg   (단일)
56,5f3dca6de37cbadbc379ae60,110701ATB,aspirin  0.1g   (단일)
57,5f3dca6de37cbadbc379ae61,111501ATB,atorvastatin calcium  (as atorvastatin   10mg)   (단일)
58,5f3dca6de37cbadbc379ae62,111502ATB,atorvastatin calcium  (as atorvastatin   20mg)   (단일)
59,5f3dca6de37cbadbc379ae63,111001ATE,aspirin(enteric coated)  (as aspirin   0.1g)   (단일)
60,5f3dca6de37cbadbc379ae64,111503ATB,atorvastatin calcium  (as atorvastatin   40mg)   (단일)
61,5f3dca6de37cbadbc379ae65,111831BIJ,atropine sulfate  10mg(0.5mg/mL)   (단일)
62,5f3dca6de37cbadbc379ae66,112402ATB,azathioprine  25mg   (단일)
63,5f3dca6de37cbadbc379ae67,112501ATB,azelastine hydrochloride  1mg   (단일)
64,5f3dca6de37cbadbc379ae68,113001BIJ,aztreonam  1g   (단일)
65,5f3dca6de37cbadbc379ae69,113201ACH,bacillus licheniformis  0.25g   (단일)
66,5f3dca6de37cbadbc379ae6a,113501ATB,baclofen  10mg   (단일)
67,5f3dca6de37cbadbc379ae6b,113504ATB,baclofen  5mg   (단일)
68,5f3dca6de37cbadbc379ae6c,113801ATB,bamiphylline hydrochloride  0.3g   (단일)
69,5f3dca6de37cbadbc379ae6d,113944ASS,barium sulfate  420g(1.4g/mL)   (단일)
70,5f3dca6de37cbadbc379ae6e,114533CLQ,beclomethasone dipropionate  20mg(0.1mg/회)   (단일)
71,5f3dca6de37cbadbc379ae6f,115331CLQ,benoxinate hydrochloride  1.5g(3mg/mL)   (단일)
72,5f3dca6de37cbadbc379ae70,115801ACS,benzonatate  0.1g   (단일)
73,5f3dca6de37cbadbc379ae71,116001ATB,benztropine mesylate  1mg   (단일)
74,5f3dca6de37cbadbc379ae72,116136CLQ,benzydamine hydrochloride  45mg(1.5mg/mL)   (단일)
75,5f3dca6de37cbadbc379ae73,116201ATB,beraprost sodium  20μg   (단일)
76,5f3dca6de37cbadbc379ae74,116302ATB,betahistine mesylate  12mg   (단일)
77,5f3dca6de37cbadbc379ae75,116530BIJ,betamethasone sodium phosphate  (as betamethasone   4mg(4mg/mL))   (단일)
78,5f3dca6de37cbadbc379ae76,117101ATB,bezafibrate  0.2g   (단일)
79,5f3dca6de37cbadbc379ae77,117702ACH,biphenyl dimethyl dicarboxylate  7.5mg   (단일)
80,5f3dca6de37cbadbc379ae78,117002ATB,bevantolol hydrochloride  50mg   (단일)
81,5f3dca6de37cbadbc379ae79,117802CSP,bisacodyl  10mg   (단일)
82,5f3dca6de37cbadbc379ae7a,117901ATB,bisoprolol fumarate  10mg   (단일)
83,5f3dca6de37cbadbc379ae7b,116830COS,betaxolol hydrochloride  14mg(2.8mg/mL)   (단일)
84,5f3dca6de37cbadbc379ae7c,117902ATB,bisoprolol fumarate  5mg   (단일)
85,5f3dca6de37cbadbc379ae7d,117903ATB,bisoprolol fumarate  2.5mg   (단일)
86,5f3dca6de37cbadbc379ae7e,118001BIJ,bleomycin hydrochloride  15mg   (단일)
87,5f3dca6de37cbadbc379ae7f,118101ASS,boehmite  (as aluminum oxide   1.212g)   (단일)
88,5f3dca6de37cbadbc379ae80,117904ATB,bisoprolol fumarate  1.25mg   (단일)
89,5f3dca6de37cbadbc379ae81,116902ATB,bethanechol chloride  25mg   (단일)
90,5f3dca6de37cbadbc379ae82,116831COS,betaxolol hydrochloride  28mg(5.6mg/mL)   (단일)
91,5f3dca6de37cbadbc379ae83,116801ATB,betaxolol hydrochloride  10mg   (단일)
92,5f3dca6de37cbadbc379ae84,117702ACS,biphenyl dimethyl dicarboxylate  7.5mg   (단일)
93,5f3dca6de37cbadbc379ae85,116904ATB,bethanechol chloride  10mg   (단일)
94,5f3dca6de37cbadbc379ae86,118434COS,brimonidine tartrate  0.45mg(1.5mg/mL)   (단일)
95,5f3dca6de37cbadbc379ae87,118432COS,brimonidine tartrate  7.5mg(1.5mg/mL)   (단일)
96,5f3dca6de37cbadbc379ae88,118601ATB,bromhexine hydrochloride  8mg   (단일)
97,5f3dca6de37cbadbc379ae89,119437CLQ,budesonide  12mg(1mg/mL)   (단일)
98,5f3dca6de37cbadbc379ae8a,119531CSI,budesonide(micronized)  40mg(0.2mg/회)   (단일)
99,5f3dca6de37cbadbc379ae8b,120132BIJ,bupivacaine hydrochloride  0.1g(5mg/mL)   (단일)
100,5f3dca6de37cbadbc379ae8c,120501ATB,buspirone hydrochloride  10mg   (단일)
101,5f3dca6de37cbadbc379ae8d,120930CCM,butenafine hydrochloride  0.1g(10mg/g)   (단일)
102,5f3dca6de37cbadbc379ae8e,121601ACS,calcitriol  0.25㎍   (단일)
103,5f3dca6de37cbadbc379ae8f,120936CCM,butenafine hydrochloride  5g(10mg/g)   (단일)
104,5f3dca6de37cbadbc379ae90,121630BIJ,calcitriol  1μg(1μg/mL)   (단일)
105,5f3dca6de37cbadbc379ae91,121901ATB,calcium carbonate(precipitated)  0.75g   (단일)
106,5f3dca6de37cbadbc379ae92,122202BIJ,calcium gluconate  2g(0.1g/mL)   (단일)
107,5f3dca6de37cbadbc379ae93,122501ATB,camostat mesilate  0.1g   (단일)
108,5f3dca6de37cbadbc379ae94,122901ATB,captopril  12.5mg   (단일)
109,5f3dca6de37cbadbc379ae95,123102ATR,carbamazepine  0.2g   (단일)
110,5f3dca6de37cbadbc379ae96,122903ATB,captopril  50mg   (단일)
111,5f3dca6de37cbadbc379ae97,123730BIJ,carboplatin  50mg(10mg/mL)   (단일)
112,5f3dca6de37cbadbc379ae98,123102ATB,carbamazepine  0.2g   (단일)
113,5f3dca6de37cbadbc379ae99,124002ACH,milk thistle fruit ext. powder  0.1697g (as silymarin   70mg)   (단일)
114,5f3dca6de37cbadbc379ae9a,124531ALQ,L-carnitine  30g(0.3g/mL)   (단일)
115,5f3dca6de37cbadbc379ae9b,124503ATB,L-carnitine  0.33g   (단일)
116,5f3dca6de37cbadbc379ae9c,125002ATB,carvedilol  25mg   (단일)
117,5f3dca6de37cbadbc379ae9d,125005ATB,carvedilol  3.125mg   (단일)
118,5f3dca6de37cbadbc379ae9e,125334ASY,cefadroxil  23.5g(50mg/mL)   (단일)
119,5f3dca6de37cbadbc379ae9f,126031AGN,cefditoren pivoxil  10g(0.1g/g)   (단일)
120,5f3dca6de37cbadbc379aea0,126103BIJ,cefepime hydrochloride hydrate  0.5g   (단일)
121,5f3dca6de37cbadbc379aea1,126501BIJ,cefmetazole sodium  1g   (단일)
122,5f3dca6de37cbadbc379aea2,126701BIJ,cefodizime sodium  1g   (단일)
123,5f3dca6de37cbadbc379aea3,127103BIJ,cefotaxime sodium  0.5g   (단일)
124,5f3dca6de37cbadbc379aea4,127702BIJ,cefpiramide sodium  0.5g   (단일)
125,5f3dca6de37cbadbc379aea5,127932ASY,cefpodoxime proxetil  5g(10mg/mL)   (단일)
126,5f3dca6de37cbadbc379aea6,128303BIJ,ceftazidime hydrate  2g   (단일)
127,5f3dca6de37cbadbc379aea7,128301BIJ,ceftazidime hydrate  1g   (단일)
128,5f3dca6de37cbadbc379aea8,128802BIJ,ceftriaxone sodium hydrate  0.25g   (단일)
129,5f3dca6de37cbadbc379aea9,128805BIJ,ceftriaxone sodium hydrate  1.5g   (단일)
130,5f3dca6de37cbadbc379aeaa,129003BIJ,cefuroxime sodium  0.75g   (단일)
131,5f3dca6de37cbadbc379aeab,130002BIJ,cephazedone sodium  2g   (단일)
132,5f3dca6de37cbadbc379aeac,131201ATB,chlordiazepoxide hydrochloride  10mg   (단일)
133,5f3dca6de37cbadbc379aead,130830ASY,chloral hydrate  9.5g(0.1g/mL)   (단일)
134,5f3dca6de37cbadbc379aeae,131030COS,chloramphenicol  50mg(5mg/mL)   (단일)
135,5f3dca6de37cbadbc379aeaf,130105ACH,cefradine hydrate  0.5g   (단일)
136,5f3dca6de37cbadbc379aeb0,131321CDS,chlorhexidine gluconate solution  3mL   (단일)
137,5f3dca6de37cbadbc379aeb1,131334CLQ,chlorhexidine gluconate solution  1.25mL(5μL/mL)   (단일)
138,5f3dca6de37cbadbc379aeb2,131332CLQ,chlorhexidine gluconate solution  1mL(10μL/mL)   (단일)
139,5f3dca6de37cbadbc379aeb3,131702ATB,chlorphenesin carbamate  0.25g   (단일)
140,5f3dca6de37cbadbc379aeb4,133201ATR,cilostazol  0.1g   (단일)
141,5f3dca6de37cbadbc379aeb5,133203ATR,cilostazol  0.2g   (단일)
142,5f3dca6de37cbadbc379aeb6,133302ATB,cimetidine  0.3g   (단일)
143,5f3dca6de37cbadbc379aeb7,133801ATB,cinnoxicam  15mg   (단일)
144,5f3dca6de37cbadbc379aeb8,134530BIJ,cisplatin  10mg(0.5mg/mL)   (단일)
145,5f3dca6de37cbadbc379aeb9,135844COM,clobetasol propionate  0.25g(0.5mg/g)   (단일)
146,5f3dca6de37cbadbc379aeba,135838CLQ,clobetasol propionate  25mg(0.5mg/mL)   (단일)
147,5f3dca6de37cbadbc379aebb,135930COM,clobetasone butyrate  7.5mg(0.5mg/g)   (단일)
148,5f3dca6de37cbadbc379aebc,136901ATB,clopidogrel bisulfate  (as clopidogrel   75mg)   (단일)
149,5f3dca6de37cbadbc379aebd,137501ATB,clozapine  0.1g   (단일)
150,5f3dca6de37cbadbc379aebe,138130BIJ,choline alfoscerate  1g(0.25g/mL)   (단일)
151,5f3dca6de37cbadbc379aebf,139001ATB,cyclophosphamide  50mg   (단일)
152,5f3dca6de37cbadbc379aec0,139230BIJ,cyclosporine  0.25g(50mg/mL)   (단일)
153,5f3dca6de37cbadbc379aec1,139601BIJ,cytarabine  0.1g   (단일)
154,5f3dca6de37cbadbc379aec2,138933COS,cyclopentolate hydrochloride  0.15g(10mg/mL)   (단일)
155,5f3dca6de37cbadbc379aec4,139634BIJ,cytarabine  1g(50mg/mL)   (단일)
156,5f3dca6de37cbadbc379aec5,139637BIJ,cytarabine  2g(0.1g/mL)   (단일)
157,5f3dca6de37cbadbc379aec6,139633BIJ,cytarabine  1g(0.1g/mL)   (단일)
158,5f3dca6de37cbadbc379aec7,139902BIJ,dacarbazine  0.2g   (단일)
159,5f3dca6de37cbadbc379aec9,140232BIJ,dalteparin sodium  10KI.U(10KI.U/mL)   (단일)
160,5f3dca6de37cbadbc379aecb,140234BIJ,dalteparin sodium  10KI.U(2.5KI.U/mL)   (단일)
161,5f3dca6de37cbadbc379aecc,140233BIJ,dalteparin sodium  10KI.U(25KI.U/mL)   (단일)
162,5f3dca6de37cbadbc379aecd,141401AGN,desmopressin acetate  (as desmopressin   89μg)   (단일)
163,5f3dca6de37cbadbc379aecf,140301ACH,danazol  0.1g   (단일)
164,5f3dca6de37cbadbc379aed1,140403BIJ,dantrolene sodium  20mg   (단일)
165,5f3dca6de37cbadbc379aed3,141401ATD,desmopressin acetate  (as desmopressin   89μg)   (단일)
166,5f3dca6de37cbadbc379aed5,141404ATD,desmopressin acetate  (as desmopressin   0.178mg)   (단일)
167,5f3dca6de37cbadbc379aed7,141433CSI,desmopressin acetate  3.75mg(1.5mg/mL)   (단일)
168,5f3dca6de37cbadbc379aedb,141633CLT,desoxymethasone  50mg(2.5mg/g(mL))   (단일)
169,5f3dca6de37cbadbc379aedd,141542CCM,desonide  60mg(0.5mg/g)   (단일)
170,5f3dca6de37cbadbc379aedf,141636CCM,desoxymethasone  15mg(0.5mg/g)   (단일)
171,5f3dca6de37cbadbc379aee4,141930COO,dexamethasone  3.5mg(1mg/g)   (단일)
172,5f3dca6de37cbadbc379aee7,142030BIJ,dexamethasone palmitate  4mg(4mg/mL)   (단일)
173,5f3dca6de37cbadbc379aee9,142131CCM,dexamethasone propionate  30mg(1mg/g)   (단일)
174,5f3dca6de37cbadbc379aeec,142230BIJ,dexamethasone disodium phosphate  4.37mg(4.37mg/mL)   (단일)
175,5f3dca6de37cbadbc379aeef,142301ATR,dexibuprofen  0.3g   (단일)
176,5f3dca6de37cbadbc379aef2,142332ASY,dexibuprofen  0.9g(12mg/mL)   (단일)
177,5f3dca6de37cbadbc379aef5,142337ASY,dexibuprofen  0.144g(12mg/mL)   (단일)
178,5f3dca6de37cbadbc379aef8,142710BIJ,dextrose(5%)  25g(50mg/mL)   (단일)
179,5f3dca6de37cbadbc379aefa,142714BIJ,dextrose(15%)  150g(0.15g/mL)   (단일)
180,5f3dca6de37cbadbc379aefc,142719BIJ,dextrose(50%)  50g(0.5g/mL)   (단일)
181,5f3dca6de37cbadbc379aeff,142902ATB,diazepam  2mg   (단일)
182,5f3dca6de37cbadbc379af02,142802ACH,diacerhein  50mg   (단일)
183,5f3dca6de37cbadbc379af05,142728BIJ,dextrose(5%)  5g(50mg/mL)   (단일)
184,5f3dca6de37cbadbc379af08,142903ATB,diazepam  5mg   (단일)
185,5f3dca6de37cbadbc379af0b,143330CCM,diclofenac diethylammonium  (as diclofenac sodium   0.2g(10mg/g))   (단일)
186,5f3dca6de37cbadbc379af0e,143532COS,diclofenac sodium  5mg(1mg/mL)   (단일)
187,5f3dca6de37cbadbc379af10,144431CCM,diflorasone diacetate  10mg(0.5mg/g)   (단일)
188,5f3dca6de37cbadbc379af12,144731CCM,diflupredinate  7.5mg(0.5mg/g)   (단일)
189,5f3dca6de37cbadbc379af15,144901ATR,dihydrocodeine tartrate  60mg   (단일)
190,5f3dca6de37cbadbc379af18,145706ATB,diltiazem hydrochloride  30mg   (단일)
191,5f3dca6de37cbadbc379af1a,146304CTR,dinoprostone  10mg   (단일)
192,5f3dca6de37cbadbc379af1c,145707ACR,diltiazem hydrochloride  90mg   (단일)
193,5f3dca6de37cbadbc379af1e,146602ACH,diosmin  0.3g   (단일)
194,5f3dca6de37cbadbc379af21,147701ATR,divalproex sodium  (as divalproex   0.25g)   (단일)
195,5f3dca6de37cbadbc379af23,147702ATR,divalproex sodium  (as divalproex   0.5g)   (단일)
196,5f3dca6de37cbadbc379af25,148005BIJ,d-mannitol(15%)  75g(0.15g/mL)   (단일)
197,5f3dca6de37cbadbc379af27,148008BIJ,d-mannitol(25%)  62.5g(0.25g/mL)   (단일)
198,5f3dca6de37cbadbc379af6a,148006BIJ,d-mannitol(20%)  50g(0.2g/mL)   (단일)
199,5f3dca6de37cbadbc379af6d,148349BIJ,docetaxel  80mg(27.6mg/mL)   (단일)
200,5f3dca6de37cbadbc379af6e,148432ASS,domperidone  0.5g(1mg/mL)   (단일)
201,5f3dca6de37cbadbc379af70,148601ATB,donepezil hydrochloride  10mg   (단일)
202,5f3dca6de37cbadbc379af71,148602ATB,donepezil hydrochloride  5mg   (단일)
203,5f3dca6de37cbadbc379af74,149203ATB,doxepin hydrochloride  3mg   (단일)
204,5f3dca6de37cbadbc379af78,149430BIJ,doxorubicin hydrochloride  10mg(2mg/mL)   (단일)
205,5f3dca6de37cbadbc379af7b,149435BIJ,liposomal doxorubicin hydrochloride  (as doxorubicin hydrochloride   50mg(2mg/mL))   (단일)
206,5f3dca6de37cbadbc379af80,149204ATB,doxepin hydrochloride  6mg   (단일)
207,5f3dca6de37cbadbc379af86,149701ATB,doxycycline hyclate hydrate  0.1g   (단일)
208,5f3dca6de37cbadbc379af8a,150034ASY,ivy leaf 70% ethanol fluid ext.  0.1g(20mg/mL)   (단일)
209,5f3dca6de37cbadbc379af8d,150045ASY,ivy leaf 70% ethanol fluid ext.  10g(20mg/mL)   (단일)
210,5f3dca6de37cbadbc379af92,150831COM,econazole nitrate  5g(10mg/g)   (단일)
211,5f3dca6de37cbadbc379af93,151130BIJ,elcatonin  10I.U(10I.U/mL)   (단일)
212,5f3dca6de37cbadbc379af95,151601ATB,enalapril maleate  10mg   (단일)
213,5f3dca6de37cbadbc379af96,152302ATR,eperisone hydrochloride  75mg   (단일)
214,5f3dca6de37cbadbc379af98,152301ATB,eperisone hydrochloride  50mg   (단일)
215,5f3dca6de37cbadbc379af9b,152132BIJ,enoxaparin sodium  40mg(0.1g/mL)   (단일)
216,5f3dca6de37cbadbc379af9e,152530COS,epinastine hydrochloride  2.5mg(0.5mg/mL)   (단일)
217,5f3dca6de37cbadbc379afa2,152130BIJ,enoxaparin sodium  20mg(0.1g/mL)   (단일)
218,5f3dca6de37cbadbc379afa5,152133BIJ,enoxaparin sodium  60mg(0.1g/mL)   (단일)
219,5f3dca6de37cbadbc379afaa,153130ASY,erdosteine  1.75g(35mg/mL)   (단일)
220,5f3dca6de37cbadbc379afae,155001ATB,estradiol valerate  1mg   (단일)
221,5f3dca6de37cbadbc379afb3,155002ATB,estradiol valerate  2mg   (단일)
222,5f3dca6de37cbadbc379afb6,155101ACH,estramustine sodium phosphate  0.14g   (단일)
223,5f3dca6de37cbadbc379afbb,155901ACS,ethosuximide  0.25g   (단일)
224,5f3dca6de37cbadbc379afbf,154931CCM,estradiol hemihydrate  (as estradiol   50mg(1mg/g))   (단일)
225,5f3dca6de37cbadbc379afc3,156503ATB,etizolam  0.25mg   (단일)
226,5f3dca6de37cbadbc379afc7,157102ACH,etoposide  25mg   (단일)
227,5f3dca6de37cbadbc379afcb,157202ATB,famciclovir  0.75g   (단일)
228,5f3dca6de37cbadbc379afd0,157302ATB,famotidine  20mg   (단일)
229,5f3dca6de37cbadbc379afd4,157302ATD,famotidine  20mg   (단일)
230,5f3dca6de37cbadbc379afd8,157501ATR,felodipine  5mg   (단일)
231,5f3dca6de37cbadbc379afdc,158210CPC,fentanyl  1.8mg for 72h   (단일)
232,5f3dca6de37cbadbc379afe0,158209CPC,fentanyl  0.9mg for 72h   (단일)
233,5f3dca6de37cbadbc379afe5,157503ATR,felodipine  2.5mg   (단일)
234,5f3dca6de37cbadbc379afe9,157901ATB,fenoterol hydrobromide  2.5mg   (단일)
235,5f3dca6de37cbadbc379afec,158315ATC,fentanyl citrate  (as fentanyl   0.6mg)   (단일)
236,5f3dca6de37cbadbc379aff0,158322ATL,fentanyl citrate(micronized)  (as fentanyl   0.3mg)   (단일)
237,5f3dca6de37cbadbc379aff4,158332BIJ,fentanyl citrate  (as fentanyl   0.5mg(50μg/mL))   (단일)
238,5f3dca6de37cbadbc379aff8,158337ATL,fentanyl citrate  (as fentanyl   0.133mg)   (단일)
239,5f3dca6de37cbadbc379affb,158338ATL,fentanyl citrate  (as fentanyl   0.267mg)   (단일)
240,5f3dca6de37cbadbc379affe,159201ATB,flavoxate hydrochloride  0.2g   (단일)
241,5f3dca6de37cbadbc379b001,158935BIJ,filgrastim  0.3mg(0.3mg/mL)   (단일)
242,5f3dca6de37cbadbc379b004,158933BIJ,filgrastim  0.3mg(0.42857mg/mL)   (단일)
243,5f3dca6de37cbadbc379b007,158931BIJ,filgrastim  0.15mg(0.25mg/mL)   (단일)
244,5f3dca6de37cbadbc379b00a,159903ACH,fluconazole  50mg   (단일)
245,5f3dca6de37cbadbc379b00d,159905ATB,fluconazole  0.15g   (단일)
246,5f3dca6de37cbadbc379b011,158932BIJ,filgrastim  0.3mg(0.25mg/mL)   (단일)
247,5f3dca6de37cbadbc379b015,160101BIJ,fludarabine phosphate  50mg   (단일)
248,5f3dca6de37cbadbc379b019,160601ATB,flunitrazepam  1mg   (단일)
249,5f3dca6de37cbadbc379b01d,160501ACH,flunarizine hydrochloride  5.9mg   (단일)
250,5f3dca6de37cbadbc379b021,160834CLQ,fluocinonide  17.5mg(0.5mg/mL)   (단일)
251,5f3dca6de37cbadbc379b025,161231COS,fluorometholone  0.6mg(1mg/mL)   (단일)
252,5f3dca6de37cbadbc379b029,161238COS,fluorometholone  6mg(1mg/mL)   (단일)
253,5f3dca6de37cbadbc379b031,161330COS,fluorometholone acetate  5mg(1mg/mL)   (단일)
254,5f3dca6de37cbadbc379b035,161502ATD,fluoxetine hydrochloride  (as fluoxetine   20mg)   (단일)
255,5f3dca6de37cbadbc379b039,161801ATB,flurazepam hydrochloride  15mg   (단일)
256,5f3dca6de37cbadbc379b03c,161502ACH,fluoxetine hydrochloride  (as fluoxetine   20mg)   (단일)
257,5f3dca6de37cbadbc379b041,162334CLQ,flutrimazol  0.3g(10mg/mL)   (단일)
258,5f3dca6de37cbadbc379b044,162401ACH,fluvastatin  20mg   (단일)
259,5f3dca6de37cbadbc379b048,162501ATB,fluvoxamine maleate  50mg   (단일)
260,5f3dca6de37cbadbc379b04c,163130ASY,formoterol fumarate hydrate  4mg(40μg/g)   (단일)
261,5f3dca6de37cbadbc379b050,162702BIJ,follitropin-α  75I.U   (단일)
262,5f3dca6de37cbadbc379b054,163430APD,fosfomycin trometamol  (as fosfomycin   3g(0.375g/g))   (단일)
263,5f3dca6de37cbadbc379b058,163131ASY,formoterol fumarate hydrate  12mg(40μg/g)   (단일)
264,5f3dca6de37cbadbc379b05c,163601ATB,fraction flavonoid purifiee micronise  0.5g   (단일)
265,5f3dca6de37cbadbc379b060,164202ACH,gabapentin  0.3g   (단일)
266,5f3dca6de37cbadbc379b064,164301BIJ,gabexate mesilate  0.1g   (단일)
267,5f3dca6de37cbadbc379b068,164931BIJ,gemcitabine hydrochloride  (as gemcitabine   0.2g(38mg/mL))   (단일)
268,5f3dca6de37cbadbc379b06c,164630COO,ganciclovir  7.5mg(1.5mg/g)   (단일)
269,5f3dca6de37cbadbc379b070,165603ATR,gliclazide  30mg   (단일)
270,5f3dca6de37cbadbc379b074,167331BIJ,granisetron hydrochloride  (as granisetron   3mg(1mg/mL))   (단일)
271,5f3dca6de37cbadbc379b07a,167903ATB,haloperidol  1.5mg   (단일)
272,5f3dca6de37cbadbc379b07e,165330BIJ,ginkgo biloba ext.  17.5mg(3.5mg/mL)   (단일)
273,5f3dca6de37cbadbc379b082,165402ATB,glibenclamide  5mg   (단일)
274,5f3dca6de37cbadbc379b084,165703ATB,glimepiride  3mg   (단일)
275,5f3dca6de37cbadbc379b087,166430ALQ,glucose  50g(0.5g/mL)   (단일)
276,5f3dca6de37cbadbc379b08c,165701ATB,glimepiride  1mg   (단일)
277,5f3dca6de37cbadbc379b08f,168630BIJ,heparin sodium  20KI.U(1KI.U/mL)   (단일)
278,5f3dca6de37cbadbc379b093,169130COS,homartropin hydrobromide  0.1g(20mg/mL)   (단일)
279,5f3dca6de37cbadbc379b097,169402BIJ,human chorionic gonadotrophin  1KI.U   (단일)
280,5f3dca6de37cbadbc379b09c,169502BIJ,human blood coagulation factor VIII(monoclonal)  250I.U   (단일)
